Alpha-3 code	Cancer code	Population code (ISO/UN)	Country	Label	Sex	Number	95% UI low	95% UI high	Number	ASR (World)	Crude rate	Cumulative risk
MLI	23	466	466	Mali	2	2436	2221	2672	2436	43.1	22.8	4.7
MDV	23	462	462	Maldives	2	51	27	98	51	22.6	25.1	2.3
MYS	23	458	458	Malaysia	2	1913	1444	2535	1913	10.3	11.9	1.0
MWI	23	454	454	Malawi	2	4701	4386	5039	4701	70.9	46.0	7.2
MDG	23	450	450	Madagascar	2	4060	3836	4297	4060	41.8	27.8	4.4
LUX	23	442	442	Luxembourg	2	22	9	53	22	4.4	6.9	0.41
LTU	23	440	440	Lithuania	2	296	238	369	296	13.7	20.7	1.3
LBY	23	434	434	Libya	2	278	203	381	278	8.0	8.0	0.90
LBR	23	430	430	Liberia	2	717	613	838	717	39.6	27.2	4.1
LSO	23	426	426	Lesotho	2	598	492	727	598	60.5	54.3	6.1
LBN	23	422	422	Lebanon	2	144	102	203	144	3.6	4.3	0.37
LVA	23	428	428	Latvia	2	238	194	293	238	16.9	23.9	1.6
LAO	23	418	418	Lao People's Democratic Republic	2	401	370	434	401	12.0	10.8	1.2
KGZ	23	417	417	Kyrgyzstan	2	479	308	746	479	14.1	14.1	1.5
KWT	23	414	414	Kuwait	2	61	38	98	61	3.1	3.6	0.36
KOR	23	410	410	Korea, Republic of	2	3397	3186	3622	3397	8.6	13.3	0.81
PRK	23	408	408	Korea, Democratic People Republic of	2	2153	2077	2231	2153	11.8	16.2	1.2
KEN	23	404	404	Kenya	2	5845	5527	6182	5845	32.8	20.7	3.5
KAZ	23	398	398	Kazakhstan	2	1824	1670	1992	1824	15.5	18.5	1.6
JOR	23	400	400	Jordan	2	133	94	187	133	3.2	2.6	0.34
JPN	23	392	392	Japan	2	10958	9147	13128	10958	12.5	17.0	1.2
JAM	23	388	388	Jamaica	2	376	256	552	376	20.4	25.0	2.0
ITA	23	380	380	Italy	2	2479	2094	2934	2479	5.0	8.0	0.50
ISR	23	376	376	Israel	2	330	272	400	330	6.2	7.4	0.63
IRL	23	372	372	Ireland	2	242	198	296	242	7.5	9.6	0.69
