REGION,YEAR,mean_coverage,se_coverage
AFR,2010.0,0.0,0.0
AFR,2011.0,1.2413793103448276,1.2413793103448276
AFR,2012.0,1.6206896551724137,1.6206896551724141
AFR,2013.0,1.9655172413793103,1.9655172413793107
AFR,2014.0,7.896551724137931,4.409557696949282
AFR,2015.0,11.607142857142858,5.4835828296869735
AFR,2016.0,18.0,6.704898584216657
AFR,2017.0,17.655172413793103,6.578865224380567
AFR,2018.0,20.555555555555557,6.978667807574094
AFR,2019.0,38.44827586206897,7.746854789544405
AFR,2020.0,29.96551724137931,6.623120192201447
AFR,2021.0,36.93103448275862,5.89270464771725
AFR,2022.0,46.55172413793103,6.297349940502292
AFR,2023.0,61.310344827586206,4.7615825721930385
AFR,2024.0,66.6896551724138,4.352425134612152
AMR,2010.0,4.6,3.504873454353878
AMR,2011.0,6.758620689655173,3.9531290756442456
AMR,2012.0,13.266666666666667,5.465447018415888
AMR,2013.0,20.785714285714285,6.597730318183211
AMR,2014.0,30.03448275862069,7.307544309750521
AMR,2015.0,33.225806451612904,6.940408354231219
AMR,2016.0,39.74193548387097,6.981691532094756
AMR,2017.0,44.16129032258065,6.413208274694481
AMR,2018.0,48.225806451612904,6.315999427536688
AMR,2019.0,57.67741935483871,5.4198732470942685
AMR,2020.0,52.0,5.217203448463564
AMR,2021.0,42.53333333333333,5.510853102352558
AMR,2022.0,55.63333333333333,5.757650249751841
AMR,2023.0,57.241379310344826,4.818288019560769
AMR,2024.0,59.38709677419355,5.189459420197963
EMR,2010.0,0.0,0.0
EMR,2011.0,0.0,0.0
EMR,2012.0,0.0,0.0
EMR,2013.0,0.0,0.0
EMR,2014.0,7.714285714285714,7.714285714285714
EMR,2015.0,9.0,9.0
EMR,2016.0,8.857142857142858,8.857142857142856
EMR,2017.0,7.428571428571429,7.428571428571428
EMR,2018.0,11.428571428571429,8.07069107460871
EMR,2019.0,12.0,8.496497877977502
EMR,2020.0,14.857142857142858,9.789276376361489
EMR,2021.0,14.857142857142858,10.065094259319164
EMR,2022.0,26.333333333333332,12.368418564140597
EMR,2023.0,42.333333333333336,4.371625682868001
EMR,2024.0,40.57142857142857,10.096810299856708
EUR,2010.0,16.41304347826087,4.109324390203254
EUR,2011.0,21.170212765957448,4.688277264469765
EUR,2012.0,22.26530612244898,4.687130984132876
EUR,2013.0,26.333333333333332,5.083900096296671
EUR,2014.0,29.3125,5.082402215327788
EUR,2015.0,31.34,5.030812000835958
EUR,2016.0,33.74,4.909450278882181
EUR,2017.0,36.12244897959184,4.971058471194204
EUR,2018.0,39.96078431372549,4.941934271177452
EUR,2019.0,46.568627450980394,4.991699376785879
EUR,2020.0,45.62,5.184741349107287
EUR,2021.0,46.294117647058826,5.1004262888082526
EUR,2022.0,50.78431372549019,4.685841312326533
EUR,2023.0,53.05882352941177,4.479794442474804
EUR,2024.0,52.98076923076923,4.519063890888929
SEAR,2010.0,13.142857142857142,13.14285714285714
SEAR,2011.0,11.857142857142858,11.857142857142856
SEAR,2012.0,12.0,12.0
SEAR,2013.0,12.0,12.0
SEAR,2014.0,14.0,14.0
SEAR,2015.0,13.857142857142858,13.857142857142854
SEAR,2016.0,13.857142857142858,13.857142857142854
SEAR,2017.0,32.857142857142854,15.920081017125405
SEAR,2018.0,36.714285714285715,17.47476314399642
SEAR,2019.0,40.0,18.886881312548283
SEAR,2020.0,44.57142857142857,16.088826561811597
SEAR,2021.0,31.142857142857142,15.222834620317958
SEAR,2022.0,43.333333333333336,18.249505320540734
SEAR,2023.0,46.285714285714285,12.14145650185325
SEAR,2024.0,78.0,7.263739034540321
WPR,2010.0,10.217391304347826,4.520028560605809
WPR,2011.0,14.681818181818182,6.227083132956085
WPR,2012.0,16.217391304347824,6.382398139788773
WPR,2013.0,22.375,7.435425511443974
WPR,2014.0,23.625,7.446624685244889
WPR,2015.0,22.583333333333332,7.098151593101357
WPR,2016.0,30.24,7.461742423857848
WPR,2017.0,27.92,7.006882330965747
WPR,2018.0,31.291666666666668,7.70127957716144
WPR,2019.0,41.208333333333336,8.414096859805191
WPR,2020.0,41.59090909090909,8.570224072524947
WPR,2021.0,40.78260869565217,7.93649610606952
WPR,2022.0,48.82608695652174,6.9095374807062715
WPR,2023.0,64.16666666666667,5.446600677229612
WPR,2024.0,68.48,4.053031787028899
